age,party_reg_state,party_primary_state,density_rural,density_suburban,density_urban,sex,combined_ethnicity_4way,census_median_income,ppi,single,married,num_children,children_3plus,homeowner,renter,education,hasreligion,catholic,christian,bible_reader,interest_in_religion,donrever_1,liberal_donor,conservative_donor,contbrel_1,contbpol_1,contbhlt_1,blue_collar,farmer,professional_technical,retired,apparel_1,bookmusc_1,electrnc_1,boatownr_1,cat_1,environm_1,outdgrdn_1,outdoor_1,guns_1,golf_1,investor_1,veteran_1,expensive_items_1,cnty_pct_religious,cnty_pct_evangelical,suppdem
57,0,0,1,0,0,F,W,67390,59,0,1,0,0,1,0,bach degree,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0.44147,0.15633,Y
84,1,1,0,1,0,F,B,96922,44,0,1,0,0,1,0,some college,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0.4801888889,0.1366388889,Y
63,1,0,1,0,0,M,W,32895,54,0,1,0,0,1,0,some college,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0.11767,0.1122688889,N
71,1,1,0,1,0,F,W,48828,20,0,1,0,0,1,0,high school,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0.49812,0.08118,Y
72,1,1,0,0,1,F,W,109297,53,0,1,0,0,1,0,no hs degree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0.46118,0.03447888889,N
20,0,0,1,0,0,M,W,41712,51,1,0,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3530888889,0.09932888889,N
40,1,1,0,1,0,M,B,33490,67,0,1,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2880088889,0.09281888889,N
86,1,0,1,0,0,M,W,37804,53,0,1,0,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3072088889,0.10415,N
20,1,1,0,1,0,F,W,41687,114,0,1,0,0,1,0,bach degree,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.40679,0.1881988889,Y
60,1,1,0,1,0,M,W,57179,123,0,1,1,0,1,0,high school,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0.5894188889,0.03896,N
75,1,0,0,0,1,M,W,57572,53,0,1,0,0,1,0,high school,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.35761,0.07723888889,N
